Product Name,Unit,Unit Value
Herbal Cockroach Repellent,100,ML
Herbal Ant Repellent,100,ML
Nature Drop Herbal Dishwasher,500,ML
Toilet Cleaner,500,ML
Lavender Natural Room Disinfectant & Refresher,250,ML
Herbal Mosquito Repellent Room Spray,100,ML
Just Mop Floor Cleaner (500ml),500,ML
Just Mop  Kitchen Spray Cleaner,500,ML
Glass Cleaner Spray,500,ML
Bathroom Cleaner,500,ML
Herbal Laundry Detergent,500,ML
Rose Natural Room Disinfectant & Refresher,250,ML
Monkey Coffee,1,PS
Mysore Nuggets Coffee,1,PS
Pea Berry 80% Coffee,1,PS
Wild Coffee,1,PS
French Blend Coffee,1,PS
Mint (pudina) Leaves Vadagam,1,PS
Tomato (thakkali) Vadagam,1,PS
Red Chilli Vadagam / காய்ந்த மிளகாய் வடகம்,1,PS
High Voltage Coffee,1,PS
Kodo Millet Poha / வரகு அவல்,250,G
Sorghum Millet Poha / சோளம் அவல்,200,G
White Poha(thin) / வெள்ளை அவல்(மெல்லிய),250,G
Banyardmillet Poha / குதிரைவாலி அவல்,250,G
Littlemillet Poha / சாமை அவல்,250,G
Fingermillet Poha / ராகி அவல்,250,G
Peanut (kadalai) Pop,1,PS
Millala Indian Spices,1,PS
Ruskona,1,PS
Almond (badam) Pop,1,PS
Coconut (thengai) Pop,1,PS
Foxtail Millet (thinai) Cookies,1,PS
Barnyard Millet (kuthiraivaali) Coookies,1,PS
Pearl Millet (kambu)  Cookies,1,PS
Finger Millet (kelvaragu) Cookies,1,PS
Multi Millet (siruthaniyam) Cookies,1,PS
Kodo Millet (varagu) Cookies,1,PS
Millet Chikkies,1,PS
Little Millet (saamai) Cookies,1,PS
Millala Cheese & Mint (pudina),1,PS
Millala Indian Tomato (thakkali),1,PS
Millatino ,1,PS
Karuppatti Kadalai Mittai,1,PS
Pearl Millet Pepper (kambu Milagu) Karasev,1,PS
Mappillai Samba Aval Mixture,1,PS
Thinai Laddu,1,PS
Karuppukavuni Laddo,1,PS
Spl Kadalai Urundai,1,PS
